especies;guia;comentarios
Eared Dove;inat ucuenca;
Sparkling Violetear;inat ucuenca;
American Kestrel;inat ucuenca;
Stygian Owl;inat ucuenca;
Striped Owl;inat ucuenca;
Oilbird;inat ucuenca;
Purple Gallinule;inat ucuenca;https://www.inaturalist.org/observations/337459907
Black-billed Cuckoo;inat ucuenca;
Band-tailed Pigeon;inat ucuenca;
Rufous-collared Sparrow;inat ucuenca;
Golden Grosbeak;inat ucuenca;
Great Thrush;inat ucuenca;
Swainson's Thrush;inat ucuenca;
Eastern Wood-Pewee;inat ucuenca;
Croaking Ground Dove;inat ucuenca;
Green-tailed Trainbearer;inat ucuenca;
White-bellied Woodstar;inat ucuenca;
Rusty Flowerpiercer;inat ucuenca;
Cinereous Conebill;inat ucuenca;
Chiguanco Thrush;inat ucuenca;
Rufous-winged Tyrannulet;inat ucuenca;
Alder Flycatcher;inat ucuenca;
Black Phoebe;inat ucuenca;
Pacific Hornero;inat ucuenca;
Band-tailed Nightjar;inat ucuenca;https://www.inaturalist.org/observations/342129973
Hooded Siskin;inat ucuenca;
Striated Heron;inat ucuenca;https://www.inaturalist.org/observations/336237405
Snowy-throated Kingbird;inat ucuenca;https://www.inaturalist.org/observations/187162735
Brown-bellied Swallow;inat ucuenca;
Cordilleran Parakeet;inat ucuenca;https://www.inaturalist.org/observations/262070561
Blue-gray Tanager;inat ucuenca;
Shiny Cowbird;inat ucuenca;
Line-cheeked Spinetail;inat ucuenca;campus balzay https://www.inaturalist.org/observations/354529673
